,Code,Description,Code System,Code System Version,Code System OID,TTY
43,1011849,lidocaine hydrochloride 0.005 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
44,1011852,lidocaine hydrochloride 0.02 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
45,1012019,lidocaine hydrochloride 2 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
46,1012066,5 ML lidocaine hydrochloride 10 MG/ML Prefilled Syringe,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
47,1012068,5 ML lidocaine hydrochloride 20 MG/ML Prefilled Syringe,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
48,1012081,benzalkonium chloride 1.3 MG/ML / lidocaine hydrochloride 20 MG/ML Topical Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
49,1012099,benzalkonium chloride 1.3 MG/ML / lidocaine hydrochloride 25 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
50,1012100,benzalkonium chloride 1.3 MG/ML / lidocaine hydrochloride 5 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
51,1012108,bupivacaine hydrochloride 3.75 MG/ML / lidocaine hydrochloride 10 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
52,1012155,epinephrine 0.002 MG/ML / lidocaine hydrochloride 20 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
53,1012169,epinephrine 0.0125 MG/ML / lidocaine hydrochloride 20 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
54,1012204,lidocaine hydrochloride 0.01 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
55,1012216,hydrocortisone acetate 0.00275 MG/MG / lidocaine hydrochloride 0.05 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
56,1012221,hydrocortisone acetate 0.0055 MG/MG / lidocaine hydrochloride 0.028 MG/MG Rectal Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
57,1012223,hydrocortisone acetate 0.025 MG/MG / lidocaine hydrochloride 0.03 MG/MG Rectal Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
58,1012229,hydrocortisone acetate 10 MG/ML / lidocaine hydrochloride 30 MG/ML Rectal Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
59,1012233,hydrocortisone acetate 20 MG/ML / lidocaine hydrochloride 20 MG/ML Rectal Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
60,1012235,hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML Rectal Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
61,1012238,hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML Topical Lotion,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
62,1012345,hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
63,1012362,hydrocortisone acetate 2 MG/ML / lidocaine hydrochloride 10 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
64,1012377,bupivacaine hydrochloride 2.5 MG/ML / epinephrine 0.005 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
65,1012384,bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
66,1012391,30 ML bupivacaine hydrochloride 7.5 MG/ML / epinephrine 0.005 MG/ML Injection,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
67,1012396,bupivacaine hydrochloride 2.5 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
68,1012404,bupivacaine hydrochloride 5 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
69,1012431,bupivacaine hydrochloride 1.05 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
70,1012705,prilocaine hydrochloride 40 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
71,1012707,epinephrine 0.005 MG/ML / prilocaine hydrochloride 40 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
72,1012711,prilocaine hydrochloride 10 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
73,1012720,felypressin 0.03 UNT/ML / prilocaine hydrochloride 30 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
74,1012722,mepivacaine hydrochloride 10 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
75,1012731,30 ML mepivacaine hydrochloride 15 MG/ML Injection,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
76,1012737,mepivacaine hydrochloride 20 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
77,1012792,epinephrine 0.01 MG/ML / mepivacaine hydrochloride 20 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
78,1012798,levonordefrin 0.05 MG/ML / mepivacaine hydrochloride 30 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
79,1012955,lidocaine hydrochloride 25 MG/ML Topical Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
80,1012966,lidocaine hydrochloride 350 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
81,1013001,lidocaine hydrochloride 50 MG/ML / phenylephrine hydrochloride 5 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
82,1013004,lidocaine hydrochloride 6 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
83,1013014,domiphen 0.5 MG / lidocaine hydrochloride 5 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
84,1013930,12 HR clonidine hydrochloride 0.1 MG Extended Release Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
85,1013937,12 HR clonidine hydrochloride 0.2 MG Extended Release Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
86,1014195,chloroxylenol 1 MG/ML / pramoxine hydrochloride 10 MG/ML Otic Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
87,1020040,heparinoids 2 MG/ML / salicylic acid 20 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
88,1020420,capsaicin 0.25 MG/ML / lidocaine hydrochloride 25 MG/ML / menthol 100 MG/ML / methyl salicylate 250 MG/ML Topical Lotion,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
89,1020434,menthol 5 MG/ML Oral Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
90,1037117,benzocaine 200 MG/ML / menthol 10 MG/ML Medicated Pad,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
91,1037125,benzocaine 200 MG/ML / menthol 9.5 ML/ML Medicated Pad,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
92,1037195,menthol 42.6 MG/ML Medicated Pad,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
93,1037234,benzoic acid 9 MG / hyoscyamine sulfate 0.12 MG / methenamine 81.6 MG / methylene blue 10.8 MG / phenyl salicylate 36.2 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
94,1037273,acetaminophen 300 MG / phenyltoloxamine citrate 20 MG / salicylamide 200 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
95,103863,aspirin 150 MG Rectal Suppository,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
96,1039043,menthol 0.01 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
97,1039251,benzocaine 7.5 MG / dextromethorphan hydrobromide 5 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
98,103941,carbamazepine 125 MG Rectal Suppository,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
99,103942,carbamazepine 250 MG Rectal Suppository,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
100,103954,aspirin 75 MG Delayed Release Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
101,1039541,pramoxine hydrochloride 10 MG/ML Medicated Pad,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
102,1039679,capsaicin 0.08 MG/MG Medicated Patch,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
103,1039690,menthol 50 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
104,1039731,camphor 0.04 MG/MG / menthol 0.1 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
105,1039799,menthol 8 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
106,104121,sulfasalazine 50 MG/ML Oral Suspension,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
107,104122,sulfasalazine 30 MG/ML Enema,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
108,1041800,resveratrol 100 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
109,1042663,camphor 0.09 MG/MG / menthol 0.013 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
110,1042684,acetaminophen 33.3 MG/ML / dextromethorphan hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
111,1042688,acetaminophen 325 MG / chlorpheniramine maleate 2 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
112,1042786,camphor 0.047 MG/MG / Eucalyptus oil 0.01 MG/MG / menthol 0.01 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
113,1042788,camphor 0.047 MG/MG / Eucalyptus oil 0.01 MG/MG / menthol 0.01 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
114,1042836,benzalkonium chloride 0.0002 MG/MG / benzocaine 0.2 MG/MG / zinc chloride 0.001 MG/MG Oral Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
115,1042838,benzalkonium chloride 0.001 MG/MG / benzocaine 0.18 MG/MG Oral Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
116,1042847,benzalkonium chloride 0.001 MG/MG / benzocaine 0.18 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
117,1043046,camphor 0.005 MG/MG / menthol 0.01 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
118,1043224,menthol 0.031 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
119,1043353,benzocaine 60 MG/ML Medicated Pad,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
120,1043375,camphor 28 MG/ML / menthol 88 MG/ML / methyl salicylate 280 MG/ML Topical Lotion,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
121,1043399,capsaicin 0.00025 MG/MG Medicated Patch,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
122,1043400,acetaminophen 21.7 MG/ML / dextromethorphan hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
123,1043479,diclofenac sodium 10 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
124,1043494,camphor 40 MG/ML / menthol 80 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
125,1043619,eucalyptol 0.92 MG/ML / menthol 0.42 MG/ML / methyl salicylate 0.6 MG/ML / thymol 0.64 MG/ML Mouthwash,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
126,1043731,menthol 1.5 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
127,1043743,menthol 0.16 MG/MG Medicated Patch,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
128,1044238,camphor 0.07 MG/MG / menthol 0.07 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
129,1044268,menthol 0.1 MG/MG / methyl salicylate 0.3 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
130,1044602,menthol 4.1 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
131,104474,aspirin 75 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
132,104475,aspirin 75 MG Disintegrating Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
133,1045010,menthol 2.6 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
136,1045385,capsaicin 0.0015 MG/MG / menthol 0.135 MG/MG / methyl salicylate 0.3 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
137,1045432,lidocaine hydrochloride 40 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
138,1045482,menthol 15 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
139,1045532,benzocaine 6 MG / dextromethorphan hydrobromide 5 MG / menthol 10 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
141,1046313,benzocaine 60 MG/ML / ethanol 0.6 ML/ML Medicated Pad,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
142,1046348,camphor 0.047 MG/MG / Eucalyptus oil 0.01 MG/MG / menthol 0.02 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
143,1046351,benzocaine 15 MG / menthol 10 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
144,1046378,acetaminophen 325 MG / phenylephrine hydrochloride 5 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
145,1046384,acetaminophen 21.7 MG/ML / chlorpheniramine maleate 0.133 MG/ML / dextromethorphan hydrobromide 1 MG/ML Oral Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
146,1046527,camphor 31 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
147,1046698,hexylresorcinol 2.4 MG / menthol 4.5 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
148,1046751,acetaminophen 325 MG / diphenhydramine hydrochloride 25 MG / phenylephrine hydrochloride 5 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
149,1046781,acetaminophen 325 MG / chlorpheniramine maleate 2 MG / phenylephrine hydrochloride 5 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
150,104706,diazepam 10 MG Rectal Suppository,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
151,1047437,1 ML baclofen 0.05 MG/ML Prefilled Syringe,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
152,1047480,camphor 0.11 MG/MG / menthol 0.1 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
153,1047786,"hyoscyamine sulfate 0.12 MG / methenamine 81.6 MG / methylene blue 10.8 MG / phenyl salicylate 36.2 MG / sodium phosphate, monobasic 40.8 MG Oral Tablet",RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
154,1047805,butabarbital 15 MG / hyoscyamine hydrobromide 0.3 MG / phenazopyridine hydrochloride 150 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
155,1048081,phenol 15 MG/ML Mucosal Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
156,1048119,trolamine salicylate 100 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
157,1048132,dyclonine hydrochloride 2 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
158,1048136,dyclonine hydrochloride 1.2 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
159,1048139,dyclonine hydrochloride 3 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
160,1048281,dyclonine hydrochloride 5 MG/ML Mucous Membrane Topical Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
161,1048286,dyclonine hydrochloride 10 MG/ML Mucous Membrane Topical Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
162,1048299,dyclonine hydrochloride 1 MG/ML Mucosal Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
163,1048307,"hyoscyamine sulfate 0.12 MG / methenamine 120 MG / methylene blue 10 MG / phenyl salicylate 36 MG / sodium phosphate, monobasic 40.8 MG Oral Capsule",RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
164,1048324,allantoin 5 MG/ML / dyclonine hydrochloride 10 MG/ML Mucous Membrane Topical Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
165,1048327,allantoin 0.005 MG/MG / dyclonine hydrochloride 0.01 MG/MG Oral Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
166,1048336,"hyoscyamine sulfate 0.12 MG / methenamine 81 MG / methylene blue 10.8 MG / phenyl salicylate 32.4 MG / sodium phosphate, monobasic 40.8 MG Oral Tablet",RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
167,1048344,allantoin 5 MG/ML / dyclonine hydrochloride 10 MG/ML Oral Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
168,1048366,benzethonium chloride 2 MG/ML / dyclonine hydrochloride 7.5 MG/ML Topical Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
169,1048953,benzocaine 10 MG Buccal Film,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
170,104899,aspirin 300 MG Delayed Release Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
171,104906,acetaminophen 24 MG/ML Oral Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
172,104908,acetaminophen 500 MG / methionine 250 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
173,1049081,benzethonium chloride 0.001 MG/MG / benzocaine 0.2 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
174,1049086,benzethonium chloride 0.001 MG/MG / benzocaine 0.2 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
175,1049108,benzethonium chloride 2 MG/ML / benzocaine 200 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
176,1049110,benzethonium chloride 2 MG/ML / benzocaine 32 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
177,1049123,benzalkonium chloride 1.3 MG/ML / pramoxine hydrochloride 10 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
178,1049179,acetaminophen 325 MG / pseudoephedrine hydrochloride 30 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
179,1049389,benzalkonium chloride 1.3 MG/ML / benzocaine 200 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
180,1050087,camphor 0.01 MG/MG / menthol 0.0054 MG/MG / petrolatum 0.98 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
181,105032,diazepam 5 MG/ML Injectable Suspension,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
182,1050385,acetaminophen 32 MG/ML / diphenhydramine hydrochloride 1.25 MG/ML / phenylephrine hydrochloride 0.5 MG/ML Oral Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
183,1051005,camphor 31.8 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
185,1052462,acetaminophen 325 MG / diphenhydramine hydrochloride 12.5 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
186,1052467,acetaminophen 500 MG / diphenhydramine hydrochloride 12.5 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
187,1052637,acetaminophen 500 MG / pamabrom 25 MG / pyrilamine maleate 15 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
188,1052647,acetaminophen 325 MG / doxylamine succinate 6.25 MG / phenylephrine hydrochloride 5 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
189,1052670,acetaminophen 325 MG / phenylephrine hydrochloride 5 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
190,1052679,acetaminophen 500 MG / chlorpheniramine maleate 2 MG / phenylephrine hydrochloride 5 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
191,1052684,pramoxine hydrochloride 10 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
192,1052744,menthol 6.9 MG Oral Lozenge,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
193,1053359,camphor 54 MG/ML / menthol 131 MG/ML / methyl salicylate 360 MG/ML Topical Oil,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
194,1053386,dimethicone 50 MG/ML / menthol 5 MG/ML Topical Lotion,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
195,1053407,camphor 60 MG/ML / menthol 150 MG/ML / methyl salicylate 400 MG/ML Topical Oil,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
196,105798,salsalate 500 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
197,105833,fenbufen 300 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
198,105834,fenbufen 300 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
